用户名,会员,星级,评论,类型1,类型2,评论时间1,评论时间2,采集时间,评论时间3
没***包,PLUS会员,"<div class=""comment-star star5""></div>",昨天收到面膜啦，因为疫情影响我的面膜兒兒转转，京东快递还是很给力的！春秋换季肌肤已经泛红刺疼了，干的不行，昨晚试了下蓝色款水感面膜，看成分多重的***，现在非常需要补水的款精华液很多不粘腻，淡淡的味道不刺鼻，很安心的感觉，敷上没有什么刺激，吸收的也很快，十来分钟感觉精华都被我的肌肤吸收掉了，可能是脸太干了！数完脸上没有那么紧绷了，还是需要坚持敷面膜护肤，还买了粉色款包装很好看的，今晚再试试粉色，希望可以改善肌肤状态，推荐大家可以入新品，用的很安心，老款新品—如既往好用,,新品-透明质酸水感15片,,2022-04-06 15:07,2022-04-24 14:23:22.775,
****B,,"<div class=""comment-star star5""></div>",最近换季皮肤状态不是很稳定，干燥缺水又敏感泛红，美迪惠尔水感面膜真的有惊艳到我！蓝色款的，透明质酸保湿水感面膜作为日常补水使用就很nice！富含5种不同大小的透明质酸，给肌肤深层补水锁水，每次使用后皮肤水润又嫩弹！这款补水面膜真的深得我心~我一般是晚上洗脸后或者早上化妆前十分钟敷一片，只需要7分钟就可以，感觉补水效果还是很不错滴，用完之后脸蛋嫩嫩的，底妆也服帖不少~,,新品-透明质酸水感15片,,2022-03-28 13:07,2022-04-24 14:23:22.894,
****j,PLUS会员,"<div class=""comment-star star5""></div>",疫情阶段在家办公。整日在电脑前面皮肤很干燥。那这个品牌的面膜呢，一直都是特别好的一个选择产品的种类多，呃有美白的有趣粉刺的刘水油平衡的有胶原蛋白胶原蛋白的各种都是我一直信赖的品牌。在京东上采购呢，也比较便利，前一天下单后一天就到了。整个产品的水分还是不错的。呃，一般来讲我把面膜放在冰箱里面拿出来的时候呢，会起到呃比较凉快的这种感觉可以起到镇静的作用补水效果还更好。敷了面膜数。作为上班族呢，这个面部啊，就是很干平时呢，也没有太多时间去美容院。在家里服用面膜呢，是一个特别不错的选择。这个品牌的产品的种类繁多各种类型呢，我军史用过这个蓝色的包装呢，李面有15片，那每天一片的成本，大概在4块钱左右，嗯，对于皮肤的保养和护理还是特别不错的。呃疫情阶段呢，以为采购会比较费劲，我是昨天采购的今天呢就到了特别快呃产品质感呢，还是很不错的使用后呢，感觉到水嫩了不少十喝的皮肤呢，也可以多种多样。这个大的品牌呢，有的时候出国会采购，现在在京东平台上也很容易就会采购到了而京东物流呢，应该有正规的管理防疫应该到位，希望商家能能有更好的几个促销的活动利用京东平台呢，来给顾客更好的产品体验。另外在疫情阶段一定要注重,,新品-透明质酸水感15片,,2022-04-13 13:46,2022-04-24 14:23:22.957,
l***_,,"<div class=""comment-star star5""></div>",太划算了，而且一包15张，而且还有卷用，相对来说这个补水效果还是可以的，用完脸滋润不油腻，像平常密集补水可以连着几天贴。,,透明质酸水感面膜15片,,2022-02-12 18:09,2022-04-24 14:23:23.007,
****c,,"<div class=""comment-star star5""></div>",过完年皮肤不稳定总是泛红干燥，长期化妆脸部都没有弹力了，朋友狂推这款面膜，真的有惊艳到我！透明质酸保湿补水日常使用就很nice，有给肌肤深层补水的感觉，每次用完皮肤又润又弹，一大袋15片可以算平价宝藏啦!,,透明质酸水感面膜15片,,2022-02-25 15:05,2022-04-24 14:23:23.062,
****z,,"<div class=""comment-star star5""></div>",15片一大包根据可以用一个月了，之前用的水润，水感这款用起来也很补水，推荐,,新品-透明质酸水感15片,,2022-03-18 12:31,2022-04-24 14:23:23.111,
****j,PLUS会员,"<div class=""comment-star star5""></div>",今天买回来用了一下，真的很水润，极力推荐，而且15片可以用好久，活动的时候推荐囤货！总之真的很赞呢,,新品-透明质酸水感15片,,2022-03-04 15:28,2022-04-24 14:23:23.159,
****s,PLUS会员,"<div class=""comment-star star5""></div>",敷完之后脸水水的很喜欢哟，夏天补水就是它了。,,新品-透明质酸水感15片,,2022-03-13 20:25,2022-04-24 14:23:23.212,
****0,,"<div class=""comment-star star5""></div>",膜布薄薄的很服帖，也没有什么香味，用着很安心,,新品-透明质酸水感15片,,2022-03-18 11:40,2022-04-24 14:23:23.261,
****v,,"<div class=""comment-star star5""></div>",看宣传是新品，刚收到15片挺划算的，今晚试试看，好用继续回购，快的速度超快。,,透明质酸水感面膜15片,,2022-02-25 22:52,2022-04-24 14:23:23.318,
****c,,"<div class=""comment-star star5""></div>",换季皮肤比较敏感，只敢用纯补水的面膜，这款面膜使用感受整体来说还是不错的，能达到基础的补水保湿，换季用它还是很放心的~,,新品-透明质酸水感15片,,2022-03-02 14:46,2022-04-24 14:23:23.617,
****r,,"<div class=""comment-star star5""></div>",看网上推荐这款新款补水很好每天敷一下再化妆很服姑不会卡粉，日常用很好！,,,,,2022-04-24 14:23:23.664,
****1,PLUS会员,"<div class=""comment-star star5""></div>",我觉得很好用，补水超足，过敏体质的我都能用！只用这个牌子,,,,,2022-04-24 14:23:23.717,
p***2,,"<div class=""comment-star star5""></div>",第一次購買希望好用包裝非常漂亮,,透明质酸水感面膜15片,,2022-02-25 02:34,2022-04-24 14:23:23.780,
****I,PLUS会员,"<div class=""comment-star star5""></div>",京东送货就是快很好用，很喜欢。,,新品-【加倍水感】透明水感15片,,2022-04-20 21:41,2022-04-24 14:23:23.839,
1***6,PLUS会员,"<div class=""comment-star star5""></div>",用了几天感觉很好，非常滋润，而且贴合我的小脸！,,,,,2022-04-24 14:23:23.894,
****q,PLUS会员,"<div class=""comment-star star5""></div>",好用非常好用买回来就用了,,新品-透明质酸水感15片,,2022-04-13 14:24,2022-04-24 14:23:23.946,
****z,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很好使用感受：适合敏感肌,,,,,2022-04-24 14:23:23.994,
小***v,PLUS会员,"<div class=""comment-star star5""></div>",东西很不错，用着感觉也挺好！！！！,,,,,2022-04-24 14:23:24.056,
长***彬,PLUS会员,"<div class=""comment-star star5""></div>",帮朋友买的，效果很不错,,,,,2022-04-24 14:23:24.125,
卢***姐,PLUS会员,"<div class=""comment-star star5""></div>",很好用的面膜睡效果超级棒,,新品-透明质酸水感15片,,2022-03-19 12:04,2022-04-24 14:23:24.453,
****b,PLUS会员,"<div class=""comment-star star5""></div>",非常不错哦，很补水，,,新品-【加倍水感】透明水感15片,,2022-04-16 13:46,2022-04-24 14:23:24.500,
****8,PLUS会员,"<div class=""comment-star star5""></div>",补水效果很好，京东平台上购买也放心。,,新品-透明质酸水感15片,,2022-04-10 12:12,2022-04-24 14:23:24.540,
****k,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：很舒服适合肤质：补水使用感受：效果很好补水效果：很好贴合效果：不错,,新品-透明质酸水感15片,,2022-04-10 10:32,2022-04-24 14:23:24.585,
坦***r,PLUS会员,"<div class=""comment-star star5""></div>",这款面膜之前有用过，用过好几个类型的，黄色的，绿色的，还是觉得蓝色这款最好用，补水很好的，而且做活动有优惠，价格合适，性价比很高呢，这次老公买了四盒，能用一段时间了，赞,,新品-透明质酸水感15片,,2022-03-14 09:13,2022-04-24 14:23:24.628,
****妹,,"<div class=""comment-star star5""></div>",之前一直用的经典款水润，这次出了新品就试一下，这个水感面膜只要敷7分钟就可以了还挺方便的，早上化妆前敷一片就不会卡粉了，比较喜欢蓝色的，补水效果好，也不会很黏腻。,,透明质酸水感面膜15片,,2022-02-25 15:34,2022-04-24 14:23:24.679,
窒***磨,PLUS会员,"<div class=""comment-star star5""></div>",美迪惠尔的忠实粉丝，以前还叫可莱丝的时候就用过了。之前一直用图二，最近发现图一这个更加水润型的，用过确实要比图二好用，推荐大家购买,,新品-透明质酸水感15片,,2022-03-11 21:20,2022-04-24 14:23:24.723,
芒***冰,PLUS会员,"<div class=""comment-star star5""></div>",产品质感：之前买了两袋用完了，又回购啦！塑料袋装的外包装不容易破损，之前盒子的送来有点挤压变形了这个就好好的～使用感受：粉色和蓝色的水感面膜味道都香香的，膜布不是很厚，我是混干皮，敷完皮肤感觉嫩嫩的，比较清爽好清洗，角质层比较薄的敏感肌敷着也不会有刺痛感！补水效果：这个比较适合早上妆前敷，只要7分钟，还是挺方便的，后续上妆不会卡粉，晚上熬夜了第二天早上可以来一片急救一下！其他特色：刚好面膜用完了想买，京东物流还是可以滴！第二天就到了！！,,新品-透明质酸水感15片,,2022-04-06 15:07,2022-04-24 14:23:24.771,
知***好,PLUS会员,"<div class=""comment-star star5""></div>",宝贝收到了，拿回家后就用了一片，精华很多，挺好的，一下子买了四盒，慢慢用,,透明质酸水感面膜15片,,2022-02-11 20:40,2022-04-24 14:23:24.821,
橙***儿,,"<div class=""comment-star star4""></div>",一拆开，一股淡淡的清香，面膜很柔软，粘液也挺足，敷上去很舒服。,,新品-透明质酸水感15片,,2022-04-11 10:34,2022-04-24 14:23:24.876,
飞***儿,,"<div class=""comment-star star5""></div>",给男生买的，说是用着很还不错，精华水分比较多，面膜贴合度还可以,,,,,2022-04-24 14:23:25.178,
悠***7,PLUS会员,"<div class=""comment-star star5""></div>",多次购买，补水效果好，春季皮肤干，面膜贴起来。,,,,,2022-04-24 14:23:25.247,
****x,PLUS会员,"<div class=""comment-star star5""></div>",补水效果还可以，挺多水的，适合普通补水,,,,,2022-04-24 14:23:25.298,
沐***胡,PLUS会员,"<div class=""comment-star star5""></div>",给老妈买的，上周问问，说还挺好用，我自己没用过。,,,,,2022-04-24 14:23:25.354,
****8,PLUS会员,"<div class=""comment-star star5""></div>",第一次用这个面膜，买了两种，都棒棒的，补水效果挺好的，用完红血丝明显减少，皮肤水嫩许多，推荐大家使用,,新品-透明质酸水感15片,,2022-04-07 07:32,2022-04-24 14:23:25.407,
不***m,PLUS会员,"<div class=""comment-star star5""></div>",老客户了，用起来挺好的，有活动就囤货,新品-【加倍水感】透明水感15片,,2022-04-17 10:13,,2022-04-24 14:23:25.460,
n***2,,"<div class=""comment-star star5""></div>",便宜又好用，补水保湿，推荐购买。,,,,,2022-04-24 14:23:25.516,
****p,PLUS会员,"<div class=""comment-star star5""></div>",还没有用，价格实惠，希望好用,,,,,2022-04-24 14:23:25.570,
是***胖,,"<div class=""comment-star star5""></div>",补水效果不错的不错的不错的,,,,,2022-04-24 14:23:25.622,
喜***8,PLUS会员,"<div class=""comment-star star5""></div>",好用的面膜哦量大实惠价啦啦队,,,,,2022-04-24 14:23:25.679,
u***5,PLUS会员,"<div class=""comment-star star5""></div>",不错，经常用，活动优惠价更值,,,,,2022-04-24 14:23:25.971,
仓***点,PLUS会员,"<div class=""comment-star star5""></div>",一直用这个品牌，这款是新款，期待使用效果,,,,,2022-04-24 14:23:26.017,
****r,PLUS会员,"<div class=""comment-star star5""></div>",第一次购买，还没用着，应该不错！,,,,,2022-04-24 14:23:26.060,
t***s,PLUS会员,"<div class=""comment-star star5""></div>",买来试试，这款还没尝试，不过美迪惠尔的么好不到哪里去么至少不会过敏,,,,,2022-04-24 14:23:26.100,
z***9,PLUS会员,"<div class=""comment-star star5""></div>",活动囤货，开始用起来，期待效果,,,,,2022-04-24 14:23:26.143,
j***3,,"<div class=""comment-star star5""></div>",就想问，现在京东也是不吭声就放自提柜了的吗？,,,,,2022-04-24 14:23:26.185,
****l,,"<div class=""comment-star star5""></div>",产品质感：外包装是塑料真空的，不会破损，比盒子的更方便~使用感受：这个水感面膜的膜布比美迪惠尔经典款的薄一些，敷着比较舒服，味道也是香香的~适合肤质：我夏天混油，冬天混干，敷完感觉嫩嫩的，比较清爽不油腻~我是角质层比较薄，平时容易脸红，敷完这个也没有过敏，感觉还是不错滴！补水效果：通常是晚上洗脸后涂完水敷一片，或者早上化妆前敷一片，后续上妆就服帖不卡粉！贴合效果：贴合度很不错，大概贴了10分钟，膜布承载力还可以，精华不会往下滴！其他：京东物流超级快！第二天就到了！日期也很新鲜！刚好面膜用完了就来看看京东，急用的话果然还是京东靠谱~,,新品-透明质酸水感15片,,2022-03-29 10:58,2022-04-24 14:23:26.228,
悠***7,PLUS会员,"<div class=""comment-star star5""></div>",发货快，包装结实，多次购买面膜，春季皮肤干就要多补水，这款补水效果特别好，吸收快，皮肤水嫩嫩的，会继续回购。,,,,,2022-04-24 14:23:26.268,
u***v,,"<div class=""comment-star star5""></div>",冲着广告下的单，收到货只有一件。客服给的解释就是119元买15片面膜，还理直气壮的。哪有这样的做虚假广告，且不符合广告宣传，果断打电话投诉，最终京东人工客服按广告处理这事,,,,,2022-04-24 14:23:26.308,
晓***仁,PLUS会员,"<div class=""comment-star star5""></div>",今天买回来用了一下，真的很水润，极力推荐，而且15片可以用好久，活动的时候推荐囤货！总之真的很赞呢,,新品-透明质酸水感15片,,2022-03-04 15:55,2022-04-24 14:23:26.378,
****g,PLUS会员,"<div class=""comment-star star5""></div>",东西很好，很满意，送货也很快给十分！！！,,,,,2022-04-24 14:23:26.879,
1***g,PLUS会员,"<div class=""comment-star star5""></div>",用过好几次了，很不错,,,,,2022-04-24 14:23:26.926,
u***g,,"<div class=""comment-star star5""></div>",这包装太省事了,,透明质酸水感面膜15片,,2022-02-12 21:43,2022-04-24 14:23:26.974,
****f,,"<div class=""comment-star star5""></div>",该用户觉得商品不错,,,,,2022-04-24 14:23:27.025,
u***o,,"<div class=""comment-star star5""></div>",非常好用，适合春天,,,,,2022-04-24 14:23:27.073,
a***z,,"<div class=""comment-star star5""></div>",特别好用,,,,,2022-04-24 14:23:27.132,
****c,PLUS会员,"<div class=""comment-star star5""></div>",还可以,,,,,2022-04-24 14:23:27.181,
